start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	57	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
58	113	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
114	146	ZEMİN	B1	B1	Kimseye etmem şikâyet ağlarım ben halime  	ZEMIN
147	179	ZEMİN	B2	B1	Kimseye etmem şikâyet ağlarım ben halime  	ZEMIN
180	221	NAKARAT	C1	C1	Titrerim mücrim gibi baktıkça istikbalime  	NAKARAT
222	265	NAKARAT	C2	C1	Titrerim mücrim gibi baktıkça istikbalime  	NAKARAT
266	310	MEYAN	D1	D1	Perde i zulmet çekilmiş korkarım ikbalime  	MEYAN
311	350	MEYAN	D2	D1	Perde i zulmet çekilmiş korkarım ikbalime  	MEYAN
351	392	NAKARAT	C1	C1	Titrerim mücrim gibi baktıkça istikbalime  	NAKARAT
393	428	NAKARAT	C3	C1	Titrerim mücrim gibi baktıkça istikbalime  	NAKARAT
