start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	50	1. HANE	A1	INSTRUMENTAL		1-HANE
51	99	TESLİM	B1	INSTRUMENTAL		TESLIM
100	148	TESLİM	B1	INSTRUMENTAL		TESLIM
149	193	2. HANE	C1	INSTRUMENTAL		2-HANE
194	245	TESLİM	B2	INSTRUMENTAL		TESLIM
246	293	TESLİM	B3	INSTRUMENTAL		TESLIM
294	335	3. HANE	D1	INSTRUMENTAL		3-HANE
336	387	TESLİM	B4	INSTRUMENTAL		TESLIM
388	436	TESLİM	B5	INSTRUMENTAL		TESLIM
437	566	4. HANE	E1	INSTRUMENTAL		4-HANE
567	624	TESLİM	B6	INSTRUMENTAL		TESLIM
625	678	TESLİM	B7	INSTRUMENTAL		TESLIM
