start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	55	1. HANE	A1	INSTRUMENTAL		1-HANE
56	117	TESLİM	B1	INSTRUMENTAL		TESLIM
118	179	TESLİM	B1	INSTRUMENTAL		TESLIM
180	234	2. HANE	C1	INSTRUMENTAL		2-HANE
235	296	TESLİM	B1	INSTRUMENTAL		TESLIM
297	358	TESLİM	B1	INSTRUMENTAL		TESLIM
359	408	3. HANE	D1	INSTRUMENTAL		3-HANE
409	470	TESLİM	B1	INSTRUMENTAL		TESLIM
471	533	TESLİM	B1	INSTRUMENTAL		TESLIM
534	683	4. HANE	E1	INSTRUMENTAL		4-HANE
684	745	TESLİM	B1	INSTRUMENTAL		TESLIM
746	807	TESLİM	B1	INSTRUMENTAL		TESLIM
