start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	65	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
66	129	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
130	161	ZEMİN	B1	B1	Gel güzelim Çamlıcaya bu gece  	ZEMIN
162	191	ZEMİN	B2	B1	Gel güzelim Çamlıcaya bu gece  	ZEMIN
192	217	NAKARAT	C1	C1	Gün doğmadan a canım görüşelim gizlice  	NAKARAT
218	244	NAKARAT	D1	C1	Gün doğmadan a canım görüşelim gizlice  	NAKARAT
245	275	MEYAN	E1	D1	Bülbüllerin efganını dinleyelim yanyana  	MEYAN
276	308	MEYAN	F1	D1	Bülbüllerin efganını dinleyelim yanyana  	MEYAN
309	333	NAKARAT	C2	E1	Kumru gibi a canım sevişelim can cana  	NAKARAT
334	359	NAKARAT	D2	E1	Kumru gibi a canım sevişelim can cana  	NAKARAT
