start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	59	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
60	117	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
118	143	ZEMİN	B1	B1	Gülşen_i hüsnüne kimler varıyor  	ZEMIN
144	172	ZEMİN	B2	B1	Gülşen_i hüsnüne kimler varıyor  	ZEMIN
173	201	NAKARAT	C1	C1	Kim_ayağın_öperek yalvarıyor  	NAKARAT
202	233	NAKARAT	D1	C1	Kim_ayağın_öperek yalvarıyor  	NAKARAT
234	257	MEYAN	E1	D1	Bağrımı şâne gibi kim yarıyor  	MEYAN
258	287	MEYAN	F1	D1	Bağrımı şâne gibi kim yarıyor  	MEYAN
288	316	NAKARAT	C1	C1	Kim_ayağın_öperek yalvarıyor  	NAKARAT
317	342	NAKARAT	D2	C1	Kim_ayağın_öperek yalvarıyor  	NAKARAT
