start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	52	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
53	103	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
104	119	ZEMİN	B1	B1	Hicrân_oku sînem deler  	ZEMIN
120	136	ZEMİN	B2	B1	Hicrân_oku sînem deler  	ZEMIN
137	159	NAKARAT	C1	C1	Olmaktadır halim beter  	NAKARAT
160	181	NAKARAT	D1	C1	Olmaktadır halim beter  	NAKARAT
182	203	MEYAN	E1	D1	Bu iftirak artık yeter  	MEYAN
204	225	MEYAN	F1	D1	Bu iftirak artık yeter  	MEYAN
226	248	NAKARAT	C1	E1	İnsâfa gel ey şîveger  	NAKARAT
249	270	NAKARAT	D2	F1	Bir gün_olur çağın geçer  	NAKARAT
271	293	NAKARAT	C1	E1	İnsâfa gel ey şîveger  	NAKARAT
294	311	NAKARAT	D3	F1	Bir gün_olur çağın geçer  	NAKARAT
312	362	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
363	413	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
414	429	ZEMİN	B1	B1	Hicrân_oku sînem deler  	ZEMIN
430	446	ZEMİN	B2	B1	Hicrân_oku sînem deler  	ZEMIN
447	469	NAKARAT	C1	C1	Olmaktadır halim beter  	NAKARAT
470	491	NAKARAT	D1	C1	Olmaktadır halim beter  	NAKARAT
492	513	MEYAN	E1	D1	Bu iftirak artık yeter  	MEYAN
514	535	MEYAN	F1	D1	Bu iftirak artık yeter  	MEYAN
536	558	NAKARAT	C1	E1	İnsâfa gel ey şîveger  	NAKARAT
559	580	NAKARAT	D2	F1	Bir gün_olur çağın geçer  	NAKARAT
581	603	NAKARAT	C1	E1	İnsâfa gel ey şîveger  	NAKARAT
604	621	NAKARAT	D3	F1	Bir gün_olur çağın geçer  	NAKARAT
