start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	49	1. HANE	A1	INSTRUMENTAL		1-HANE
50	101	TESLİM	B1	INSTRUMENTAL		TESLIM
102	149	TESLİM	B2	INSTRUMENTAL		TESLIM
150	200	2. HANE	C1	INSTRUMENTAL		2-HANE
201	252	TESLİM	B1	INSTRUMENTAL		TESLIM
253	300	TESLİM	B2	INSTRUMENTAL		TESLIM
301	343	3. HANE	D1	INSTRUMENTAL		3-HANE
344	395	TESLİM	B1	INSTRUMENTAL		TESLIM
396	444	TESLİM	B2	INSTRUMENTAL		TESLIM
445	647	4. HANE	E1	INSTRUMENTAL		4-HANE
648	699	TESLİM	B1	INSTRUMENTAL		TESLIM
700	747	TESLİM	B2	INSTRUMENTAL		TESLIM
