start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	35	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
36	69	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
70	87	ZEMİN	B1	B1	Olmaz ilaç sîne isadpâreme  	ZEMIN
88	108	ZEMİN	C1	B1	Olmaz ilaç sîne isadpâreme  	ZEMIN
109	131	NAKARAT	D1	C1	Çare bulunmaz bilirim yareme  	NAKARAT
132	158	NAKARAT	E1	C1	Çare bulunmaz bilirim yareme  	NAKARAT
159	176	MEYAN	F1	D1	Baksa tabîbân_ı cihan çareme  	MEYAN
177	203	MEYAN	G1	D1	Baksa tabîbân_ı cihan çareme  	MEYAN
204	226	NAKARAT	D2	C1	Çare bulunmaz bilirim yareme  	NAKARAT
227	246	NAKARAT	E2	C1	Çare bulunmaz bilirim yareme  	NAKARAT
247	280	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
281	314	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
315	332	ZEMİN	B1	B1	Olmaz ilaç sîne isadpâreme  	ZEMIN
333	353	ZEMİN	C1	B1	Olmaz ilaç sîne isadpâreme  	ZEMIN
354	376	NAKARAT	D1	C1	Çare bulunmaz bilirim yareme  	NAKARAT
377	403	NAKARAT	E1	C1	Çare bulunmaz bilirim yareme  	NAKARAT
404	421	MEYAN	F1	D1	Baksa tabîbân_ı cihan çareme  	MEYAN
422	448	MEYAN	G1	D1	Baksa tabîbân_ı cihan çareme  	MEYAN
449	471	NAKARAT	D2	C1	Çare bulunmaz bilirim yareme  	NAKARAT
472	491	NAKARAT	E2	C1	Çare bulunmaz bilirim yareme  	NAKARAT
