start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	55	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
56	109	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
110	145	ZEMİN	B1	B1	Mânî oluyor halimi takrîre hicâbım  	ZEMIN
146	181	ZEMİN	B2	B1	Mânî oluyor halimi takrîre hicâbım  	ZEMIN
182	211	NAKARAT	C1	C1	Üzme yetişir üzme firâkınla harâbım  	NAKARAT
212	244	NAKARAT	D1	C1	Üzme yetişir üzme firâkınla harâbım  	NAKARAT
245	278	MEYAN	E1	D1	Mahvoldu sükûnum beni terkeyledi hâbım  	MEYAN
279	311	MEYAN	E2	D1	Mahvoldu sükûnum beni terkeyledi hâbım  	MEYAN
312	341	NAKARAT	C1	C1	Üzme yetişir üzme firâkınla harâbım  	NAKARAT
342	375	NAKARAT	D2	C1	Üzme yetişir üzme firâkınla harâbım  	NAKARAT
