start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	45	1. HANE	A1	INSTRUMENTAL		1-HANE
46	103	TESLİM	B1	INSTRUMENTAL		TESLIM
104	158	TESLİM	B2	INSTRUMENTAL		TESLIM
159	214	2. HANE	C1	INSTRUMENTAL		2-HANE
215	272	TESLİM	B1	INSTRUMENTAL		TESLIM
273	327	TESLİM	B2	INSTRUMENTAL		TESLIM
328	427	3. HANE	D1	INSTRUMENTAL		3-HANE
428	485	TESLİM	B1	INSTRUMENTAL		TESLIM
486	541	TESLİM	B2	INSTRUMENTAL		TESLIM
542	762	4. HANE	E1	INSTRUMENTAL		4-HANE
763	820	TESLİM	B1	INSTRUMENTAL		TESLIM
821	875	TESLİM	B2	INSTRUMENTAL		TESLIM
