Sira 	Kod 	Nota53 	NotaAE 	Pay 	Payda 	MS 	LNS 	VelOn 	Soz1 	Bolum 	
1 	9 	Fa5   	F5   	3 	8 	1184 	95 	96 	 	1. Hane 	
2 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
3 	9 	Fa5   	F5   	1 	4 	789 	95 	96 	 	 	
4 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
5 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
6 	9 	Sol5  	G5   	3 	16 	592 	95 	96 	 	 	
7 	9 	Fa5   	F5   	1 	16 	197 	95 	96 	 	 	
8 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
9 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
10 	9 	Mi5   	E5   	1 	4 	789 	95 	96 	 	 	
11 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
12 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
13 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
14 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
15 	9 	Mi5   	E5   	1 	4 	789 	95 	96 	 	 	
16 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
17 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
18 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
19 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
20 	9 	Si4b1 	B4b1 	1 	8 	395 	95 	96 	 	 	
21 	9 	Do5   	C5   	3 	8 	1184 	95 	96 	 	 	
22 	9 	Rest  	Rest 	1 	8 	395 	95 	96 	 	 	
23 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
24 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
25 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
26 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
27 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
28 	9 	La5   	A5   	1 	16 	197 	95 	96 	 	 	
29 	9 	Sol5  	G5   	1 	16 	197 	95 	96 	 	 	
30 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
31 	9 	Sol5  	G5   	3 	16 	592 	95 	96 	 	 	
32 	9 	Fa5   	F5   	1 	16 	197 	95 	96 	 	 	
33 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
34 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
35 	9 	Mi5   	E5   	1 	4 	789 	95 	96 	 	 	
36 	9 	Sol5  	G5   	1 	16 	197 	95 	96 	 	 	
37 	9 	Fa5   	F5   	1 	16 	197 	95 	96 	 	 	
38 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
39 	9 	Fa5   	F5   	1 	2 	1579 	95 	96 	 	 	
40 	9 	Do5   	C5   	1 	4 	789 	95 	96 	 	 	
41 	9 	Fa5   	F5   	1 	4 	789 	95 	96 	 	 	
42 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
43 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
44 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
45 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
46 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
47 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
48 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
49 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
50 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
51 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
52 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
53 	9 	Si4b1 	B4b1 	1 	8 	395 	95 	96 	 	 	
54 	9 	Do5   	C5   	1 	4 	789 	95 	96 	 	 	
55 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
56 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
57 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
58 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
59 	9 	Do5   	C5   	1 	4 	789 	95 	96 	 	 	
60 	9 	Si4b5 	B4b5 	1 	4 	789 	95 	96 	 	 	
61 	9 	Si4b5 	B4b5 	1 	8 	395 	95 	96 	 	 	
62 	9 	La4   	A4   	1 	4 	789 	95 	96 	 	 	
63 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
64 	9 	Fa4   	F4   	1 	4 	789 	95 	96 	 	 	
