start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	47	1. HANE	A1	INSTRUMENTAL		1-HANE
48	107	TESLİM	B1	INSTRUMENTAL		TESLIM
108	164	TESLİM	B2	INSTRUMENTAL		TESLIM
165	218	2. HANE	C1	INSTRUMENTAL		2-HANE
219	272	2. HANE	C1	INSTRUMENTAL		2-HANE
273	332	TESLİM	B1	INSTRUMENTAL		TESLIM
333	389	TESLİM	B2	INSTRUMENTAL		TESLIM
390	433	3. HANE	D1	INSTRUMENTAL		3-HANE
434	477	3. HANE	D1	INSTRUMENTAL		3-HANE
478	537	TESLİM	B1	INSTRUMENTAL		TESLIM
538	595	TESLİM	B2	INSTRUMENTAL		TESLIM
596	807	4. HANE	E1	INSTRUMENTAL		4-HANE
808	867	TESLİM	B1	INSTRUMENTAL		TESLIM
868	924	TESLİM	B2	INSTRUMENTAL		TESLIM
