start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	74	1. HANE	A1	INSTRUMENTAL		1-HANE
75	108	TESLİM	B1	INSTRUMENTAL		TESLIM
109	142	TESLİM	B1	INSTRUMENTAL		TESLIM
143	226	2. HANE	C1	INSTRUMENTAL		2-HANE
227	260	TESLİM	B1	INSTRUMENTAL		TESLIM
261	294	TESLİM	B1	INSTRUMENTAL		TESLIM
295	356	3. HANE	D1	INSTRUMENTAL		3-HANE
357	390	TESLİM	B1	INSTRUMENTAL		TESLIM
391	425	TESLİM	B1	INSTRUMENTAL		TESLIM
426	600	4. HANE	E1	INSTRUMENTAL		4-HANE
601	634	TESLİM	B1	INSTRUMENTAL		TESLIM
635	668	TESLİM	B1	INSTRUMENTAL		TESLIM
