start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	72	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
73	143	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
144	179	ZEMİN	B1	B1	Koklasam saçlarını bu gece tâ fecre kadar  	ZEMIN
180	213	ZEMİN	B2	B1	Koklasam saçlarını bu gece tâ fecre kadar  	ZEMIN
214	257	NAKARAT	C1	C1	Acı duysam gözünün rengine dalsam da senin  	NAKARAT
258	301	NAKARAT	D1	C1	Acı duysam gözünün rengine dalsam da senin  	NAKARAT
302	341	MEYAN	E1	D1	Kanatır ruhumu mâzîde kalan hatıralar  	MEYAN
342	387	MEYAN	F1	D1	Kanatır ruhumu mâzîde kalan hatıralar  	MEYAN
388	431	NAKARAT	C2	E1	Doyamam ömrüme ben kalbini çalsam da senin  	NAKARAT
432	470	NAKARAT	D2	E1	Doyamam ömrüme ben kalbini çalsam da senin  	NAKARAT
