start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	47	1. HANE	A1	INSTRUMENTAL		1-HANE
48	96	TESLİM	B1	INSTRUMENTAL		TESLIM
97	145	TESLİM	B1	INSTRUMENTAL		TESLIM
146	191	2. HANE	C1	INSTRUMENTAL		2-HANE
192	240	TESLİM	B1	INSTRUMENTAL		TESLIM
241	289	TESLİM	B1	INSTRUMENTAL		TESLIM
290	331	3. HANE	D1	INSTRUMENTAL		3-HANE
332	380	TESLİM	B1	INSTRUMENTAL		TESLIM
381	430	TESLİM	B1	INSTRUMENTAL		TESLIM
431	550	4. HANE	E1	INSTRUMENTAL		4-HANE
551	599	TESLİM	B1	INSTRUMENTAL		TESLIM
600	648	TESLİM	B1	INSTRUMENTAL		TESLIM
