start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	47	1. HANE	A1	INSTRUMENTAL		1-HANE
48	112	TESLİM	B1	INSTRUMENTAL		TESLIM
113	177	TESLİM	B1	INSTRUMENTAL		TESLIM
178	224	2. HANE	C1	INSTRUMENTAL		2-HANE
225	289	TESLİM	B1	INSTRUMENTAL		TESLIM
290	354	TESLİM	B1	INSTRUMENTAL		TESLIM
355	426	3. HANE	D1	INSTRUMENTAL		3-HANE
427	491	TESLİM	B1	INSTRUMENTAL		TESLIM
492	557	TESLİM	B1	INSTRUMENTAL		TESLIM
558	630	4. HANE	E1	INSTRUMENTAL		4-HANE
631	704	4. HANE	E1	INSTRUMENTAL		4-HANE
705	769	TESLİM	B1	INSTRUMENTAL		TESLIM
770	834	TESLİM	B1	INSTRUMENTAL		TESLIM
