start_note	end_note	name	melodic_structure	lyric_structure	lyrics	slug
2	68	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
69	135	ARANAĞME	A1	INSTRUMENTAL		ARANAGME
136	176	ZEMİN	B1	B1	Gözümde hep gül yüzün gülistan oldu cihan gülistan oldu cihan  	ZEMİIN
177	213	ZEMİN	B2	B1	Gözümde hep gül yüzün gülistan oldu cihan gülistan oldu cihan  	ZEMIN
214	250	NAKARAT	C1	C1	Mevsimler bahar oldu ne kış kaldı ne hazan ne kış kaldı ne hazan  	NAKARAT
251	289	NAKARAT	C2	C1	Mevsimler bahar oldu ne kış kaldı ne hazan ne kış kaldı ne hazan  	NAKARAT
290	331	MEYAN	D1	D1	Bahtiyar olur musun murâda erer misin murâda erer misin  	MEYAN
332	371	MEYAN	D2	D1	Bahtiyar olur musun murâda erer misin murâda erer misin  	MEYAN
372	408	NAKARAT	C1	C1	Mevsimler bahar oldu ne kış kaldı ne hazan ne kış kaldı ne hazan  	NAKARAT
409	441	NAKARAT	C3	C1	Mevsimler bahar oldu ne kış kaldı ne hazan ne kış kaldı ne hazan  	NAKARAT
